Index,Japanese,English,Chinese,Status,Birth,Living,Voice,Source,Note
71,シリウスシンボリ,Sirius Symboli,天狼象徵;tin1 long4 zoeng6 zing1,Unnamed,1982-03-26,0,ファイルーズ あい;ふぁいるーず あい,,
72,ヤエノムテキ,Yaeno Muteki,八重無敵;baat3 cung4 mou4 dik6,Newspaper,1985-04-11,0,日原あゆみ;ひのはら あゆみ,華僑日報 1990-11-23，頁 17;https://mmis.hkpl.gov.hk/coverpage/-/coverpage/view?p_r_p_-1078056564_c=QF757YsWv59H%2FuxqfBwEJNWFpkoZpl4c,
73,ツルマルツヨシ,Tsurumaru Tsuyoshi,鶴丸剛志;hok6 jyun2 gong1 zi3,Unnamed,1995-04-06,0,青山吉能;あおやま よしの,,
74,メジロブライト,Mejiro Bright,目白光明;muk6 baak6 gwong1 ming4,Confirmed,1994-04-19,0,大西綺華;おおにし あやか,馬會網站;https://corporate.hkjc.com/image/201811/20181128_P50-55_Trainer20Profile_C20-20Big.pdf,
75,デアリングタクト,Daring Tact,謀勇兼備;mau4 jung5 gim1 bei6,Confirmed,2017-04-15,2,,馬會網站;https://racing.hkjc.com/racing/information/Chinese/Horse/OtherHorse.aspx?HorseId=HK_2020_E812,
76,サクラローレル,Sakura Laurel,櫻花桂冠;jing1 faa1 gwai3 gun1,Unnamed,1991-05-08,0,真野美月;まの みづき,,
77,ナリタトップロード,Narita Top Road,成田路;sing4 tin4 lou6,Confirmed,1996-04-04,0,中村カンナ;なかむら かんな,馬會網站;https://web.archive.org/web/20090508164409/http://www.hkjc.com/chinese/special/07/ews01_japan.htm,
78,ヤマニンゼファー,Yamanin Zephyr,也文攝輝;jaa5 man4 sip3 fai1,Confirmed,1988-05-27,0,,馬會網站;https://corporate.hkjc.com/image/201412/20141203_HKIR_FORM_GUIDE_C.pdf#page=70,
79,シンボリクリスエス,Symboli Kris S,吉兆;gat1 siu6,Confirmed,1999-01-21,1,春川芽生;はるかわ めいく,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20130526/S1/1/expert-column.aspx?para=/20130526/S1/1,
80,タニノギムレット,Tanino Gimlet,谷野美酒;guk1 je5 mei5 zau2,Unnamed,1999-05-04,1,松岡美里;まつおか みさと,,
81,アストンマーチャン,Aston Machan,真弓快車;zan1 gung1 faai3 ce1,Confirmed,2004-03-05,0,,馬會網站;https://campaigns.hkjc.com/hkir/ch/experts/strong-japanese-delegation-at-2021-longines-hong-kong-international-races,
82,サトノクラウン,Satono Crown,里見皇冠;lei5 gin3 wong4 gun1,Confirmed,2012-03-10,1,,馬會網站;https://racing.hkjc.com/racing/information/Chinese/Horse/OtherHorse.aspx?HorseId=HK_2015_V632,
83,シュヴァルグラン,Cheval Grand,高尚駿逸;gou1 soeng6 zeon3 jat6,Confirmed,2012-03-14,1,,馬會網站;https://www.hkjc.com/chinese/corporate/racing_news_item.asp?in_file=/chinese/news/2018-11/news_2018112301611.html,
84,コパノリッキー,Copano Rickey,小林歷奇;siu2 lam4 lik6 kei4,Confirmed,2010-03-24,1,稲垣好;いながき このみ,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20151206/S1/1/reference-odds.aspx?para=/20151206/S1/1,
85,ホッコータルマエ,Hokko Tarumae,北港火山;bak1 gong2 fo2 saan1,Confirmed,2009-05-26,1,菊池紗矢香;きくち さやか,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20151206/S1/1/reference-odds.aspx?para=/20151206/S1/1,
86,ワンダーアキュート,Wonder Acute,奇銳駿;kei4 jeoi6 zeon3,Confirmed,2006-03-14,1,須藤叶希;すどう かのこ,馬會網站;https://racing.hkjc.com/racing/overseas/chinese/20151206/S1/1/reference-odds.aspx?para=/20151206/S1/1,
